id,groupname,name,groupphoto,description,photo,brand,available,old,percent,price,stockcode,category,subcategory,colorphoto,highlight,origin,
52,,Poison girl unexpected for women edt 100ml,,,uploads/product/photo/luxury/CD-poison-girl-unexpected-EDT 100ml.jpg,Christian Dior,0,2258,,2258,7060,Perfume,Dior,,,,
53,,Forever & ever for women edt 50ml,,,uploads/product/photo/luxury/diorforever.jpg,Christian Dior,0,1786,,1786,7063,Perfume,Dior,,,,
54,,Miss dior for women edp 50ml,,,uploads/product/photo/luxury/missdior.jpg,Christian Dior,0,1930,,1930,7057,Perfume,Dior,,,,
55,,La vie est belle soleil cristal edp 100ml,,,uploads/product/photo/luxury/la-vie-est-belle-soleil.jpg,Lancome,1,3079,,3079,8968,Perfume,Lancome,,,,
56,,Magie noire for women edt 75ml,,,uploads/product/photo/luxury/lancomemagicnoir.jpg,Lancome,1,1500,,1500,5083,Perfume,Lancome,,,,
57,,Fahrenheit for men edp 75ml,,,uploads/product/photo/luxury/fahrenheit.jpg,Christian Dior,0,2300,,2300,7058,Perfume,Dior,,,,
58,,Homme sport  for men edt 75ml,,,uploads/product/photo/luxury/diorhomesport.jpg,Christian Dior,0,1569,,1569,7059,Perfume,Dior,,,,
59,,Acqua di gio profondo edp 125ml,,,uploads/product/photo/luxury/profondo.jpg,Giorgio Armani,1,2918,,2918,8957,Perfume,Giorgio Armani,,,,
60,,Si fiori edp 100ml,,,uploads/product/photo/luxury/GA fiori edp 100.jpg,Giorgio Armani,0,2785,,2785,8958,Perfume,Giorgio Armani,,,,
61,,Stronger with you intensely edp 100ml,,,uploads/product/photo/luxury/StrongawitUI.jpg,Emporio Armani,1,2033,,2033,8959,Perfume,Emporio Armani,,,,
62,,In love with you edp 100ml,,,uploads/product/photo/luxury/Armani_in_love.png,Emporio Armani,1,2313,,2313,8960,Perfume,Emporio Armani,,,,
63,,Black opium edp 50ml,,,uploads/product/photo/luxury/Ysl-BlackOpium 50ml.jpg,Yves Saint Laurent,1,2187,,2187,8961,Perfume,Yves Saint Laurent,,,,
64,,Y le perfume 100ml,,,uploads/product/photo/luxury/yves-saint-laurent-y.jpg,Yves Saint Laurent,1,2531,,2531,8962,Perfume,Yves Saint Laurent,,,,
65,,Libre edp 90ml,,,uploads/product/photo/luxury/libre ysl.jpg,Yves Saint Laurent,0,3116,,3116,8963,Perfume,Yves Saint Laurent,,,,
66,,White musk edp 50ml,,,uploads/product/photo/tbsnew/12.JPG,The body shop,0,780,,780,7532,Perfume,Body Shop,,,,
67,,Humane pour homme edt 100ml,,,uploads/product/photo/armaf.new/FRSH perfume/Humane-Box-100ml-edt.jpg,FRSH + Armaf,1,275,,275,9095,Perfume,Armaf,,,,
68,,Sure shot pour homme edt 100ml,,,uploads/product/photo/armaf.new/FRSH perfume/Sure-Shot-Box-100ml-edt.jpg,FRSH + Armaf,1,275,,275,9093,Perfume,Armaf,,,,
69,,Ten on ten pour homme edt 100ml,,,uploads/product/photo/armaf.new/FRSH perfume/Ten-on-Ten--Box-100ml-edt.jpg,FRSH + Armaf,1,275,,275,9094,Perfume,Armaf,,,,
70,,Trust pour homme edt 100ml,,,uploads/product/photo/armaf.new/FRSH perfume/Trust--Box-100ml-edt.jpg,FRSH + Armaf,1,275,,275,9096,Perfume,Armaf,,,,
71,,Donna for women edp 100ml,,,uploads/product/photo/armaf.new/oros/orosdonna100ml.jpg,Oros,1,1390,,1390,8077,Perfume,Armaf,,,,
72,,Uomo for men edp 100ml,,,uploads/product/photo/armaf.new/oros/orosuomo100ml.jpg,Oros,1,1390,,1390,8076,Perfume,Armaf,,,,
73,,All you need is love for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/all you need is love man 100ml.jpg,Armaf,1,345,,345,7134,Perfume,Armaf,,,,
74,,All you need is love for woman edp 100ml,,,uploads/product/photo/armaf.new/Perfume/all you need is love woman 100ml.jpg,Armaf,0,345,,345,7133,Perfume,Armaf,,,,
75,,Aura for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/aura 100ml.jpg,Armaf,1,325,,325,3671,Perfume,Armaf,,,,
76,,Beau acute for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/beau acute 100ml.jpg,Armaf,1,350,,350,5456,Perfume,Armaf,,,,
77,,Beau elegant edp 100ml,,,uploads/product/photo/armaf.new/Perfume/beau elegant 100ml.jpg,Armaf,1,345,,345,5012,Perfume,Armaf,,,,
78,,Belle women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Belle 100ml.jpg,Armaf,1,275,,275,9092,Perfume,Armaf,,,,
79,,Blue homme for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/blue homme 100ml.jpg,Armaf,1,245,,245,2300,Perfume,Armaf,,,,
80,,Bois luxura for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/bois luxuria 100ml.jpg,Armaf,1,375,,375,4810,Perfume,Armaf,,,,
81,,Bois nuit for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/bois nuit 100ml.jpg,Armaf,1,375,,375,5131,Perfume,Armaf,,,,
82,,Bruce wayne limited edition for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Bruce wayne 100ml.jpg,Armaf,1,265,,265,8203,Perfume,Armaf,,,,
83,,Club de nuit for men edt 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit men 105ml.jpg,Armaf,1,495,,495,4806,Perfume,Armaf,,,,
84,,Club de nuit intense for men edt 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit intense man 105ml.jpg,Armaf,1,650,,650,6486,Perfume,Armaf,,,,
85,,Club de nuit intense for men limited edition 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit intense man limited edition 105ml.jpg,Armaf,1,1250,,1250,8570,Perfume,Armaf,,,,
86,,Club de nuit intense women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit intense woman 105ml.jpg,Armaf,1,345,,345,6146,Perfume,Armaf,,,,
87,,Club de nuit milestone for unisex edp 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit milestone 105ml.jpg,Armaf,1,650,,650,8569,Perfume,Armaf,,,,
88,,Club de nuit sillage edp 105ml,,,uploads/product/photo/armaf.new/Perfume/cub de nuit sillage 105ml.jpg,Armaf,1,690,,690,8745,Perfume,Armaf,,,,
89,,Club de nuit urban for men edp 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit urban man 105ml.jpg,Armaf,1,430,,430,5998,Perfume,Armaf,,,,
90,,Club de nuit women edp 105ml,,,uploads/product/photo/armaf.new/Perfume/club de nuit women 105ml.jpg,Armaf,1,495,,495,3665,Perfume,Armaf,,,,
91,,Craze bleu for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/craze blue 100ml.jpg,Armaf,1,325,,325,7855,Perfume,Armaf,,,,
92,,Craze for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Craze 100ml.jpg,Armaf,0,325,,325,3673,Perfume,Armaf,,,,
93,,Craze noir for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Craze noir 100ml.jpg,Armaf,1,325,,325,8075,Perfume,Armaf,,,,
94,,De la marque brune for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/de la marque brune 100ml.JPG,Armaf,1,280,,280,2298,Perfume,Armaf,,,,
95,,Derby club house blanch for men edt 100ml ,,,uploads/product/photo/armaf.new/Perfume/DCH blanch men 100ml.jpg,Armaf,0,245,,245,7132,Perfume,Armaf,,,,
96,,Derby club house for men edt 100ml ,,,uploads/product/photo/armaf.new/Perfume/DCH men 100ml.jpg,Armaf,0,245,,245,6946,Perfume,Armaf,,,,
97,,Enchanted aqua men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/Enchanted Aqua 100ml.png,Armaf,1,195,,195,5459,Perfume,Armaf,,,,
98,,Enchanted katrina leaf for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Enchanted katrina Leaf 100ml.JPG,Armaf,0,195,,195,3604,Perfume,Armaf,,,,
99,,Enchanted katrina light blue for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Enchanted Katrina Blue 100ml.png,Armaf,0,195,,195,3605,Perfume,Armaf,,,,
100,,Enchanted trend for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/Enchanted Trend 100ml.jpg,Armaf,1,195,,195,6943,Perfume,Armaf,,,,
101,,Eternia for men edp 80ml,,,uploads/product/photo/armaf.new/Perfume/eternia man 100ml.jpg,Armaf,1,375,,375,3191,Perfume,Armaf,,,,
102,,Eternia for woman edp 80ml,,,uploads/product/photo/armaf.new/Perfume/eternia woman 100ml.jpg,Armaf,0,375,,375,8741,Perfume,Armaf,,,,
103,,Excellus for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/excellus 100ml.jpg,Armaf,0,360,,360,7369,Perfume,Armaf,,,,
104,,The warrior for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/The warrior 100ml.jpg,Armaf,1,210,,210,2296,Perfume,Armaf,,,,
105,,Extreme warrior for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/extreme warrior 100ml.jpg,Armaf,1,275,,275,6149,Perfume,Armaf,,,,
106,,Futura la homme for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/futura la homme 100ml.jpg,Armaf,1,345,,345,5270,Perfume,Armaf,,,,
107,,Futura la homme intense for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/futura la homme intense 100ml.jpg,Armaf,1,360,,360,3192,Perfume,Armaf,,,,
108,,Hunter for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/hunter for men 100ml.jpg,Armaf,1,295,,295,3674,Perfume,Armaf,,,,
109,,Hunter intense for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/hunter intense for men 100ml.jpg,Armaf,1,295,,295,5748,Perfume,Armaf,,,,
110,,Italiano nero for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/Italiano nero uomo 100ml.jpg,Armaf,0,260,,260,2442,Perfume,Armaf,,,,
111,,Italiano uomo for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/italiano uomo 100ml.JPG,Armaf,1,260,,260,3677,Perfume,Armaf,,,,
112,,Italiano vivo for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/italiano vivo donna 100ml.jpg,Armaf,1,285,,285,2447,Perfume,Armaf,,,,
113,,La rosa for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/la rosa 100ml.jpg,Armaf,0,245,,245,5454,Perfume,Armaf,,,,
114,,Le femme for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/le femme 100ml.jpg,Armaf,1,295,,295,2295,Perfume,Armaf,,,,
115,,Le parfait pour homme edt 100ml,,,uploads/product/photo/armaf.new/Perfume/Le parfait femme 100ml.jpg,Armaf,1,260,,260,5452,Perfume,Armaf,,,,
116,,Le parfait pour femme edp 100ml,,,uploads/product/photo/armaf.new/Perfume/le parfait homme 100ml.jpg,Armaf,1,260,,260,5453,Perfume,Armaf,,,,
117,,Legesi for man edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Legesi EDP 100ml.jpg,Armaf,1,325,,325,6229,Perfume,Armaf,,,,
118,,Legesi for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/legasi woman 100ml.jpg,Armaf,0,295,,295,6228,Perfume,Armaf,,,,
119,,Magnificent por homme for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/magnificent-man-100ml.jpg,Armaf,0,465,,465,6222,Perfume,Armaf,,,,
120,,Magnificent por femme for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Magnificent-women-100ml.jpg,Armaf,1,465,,465,6221,Perfume,Armaf,,,,
121,,Marjan silver for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/marjan silver 100ml.jpg,Armaf,0,195,,195,6937,Perfume,Armaf,,,,
122,,Mignon for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/mignon 100ml.jpg,Armaf,0,245,,245,6490,Perfume,Armaf,,,,
123,,Momento fleur edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Momento Fleur 100ml.jpg,Armaf,1,315,,315,3195,Perfume,Armaf,,,,
124,,Niche bucephalus no.IX for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Bucepgalus IX 100ml.jpg,Armaf,1,595,,595,7375,Perfume,Armaf,,,,
125,,Niche bucephalus no.X for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Bucephalus X 100ml.jpg,Armaf,0,595,,595,7377,Perfume,Armaf,,,,
126,,Niche bucephalus no.XI for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/bucephalus XI 100ml.jpg,Armaf,1,645,,645,7376,Perfume,Armaf,,,,
127,,Niche white diamond for men edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche white diamond 90ml.jpg,Armaf,0,295,,295,6147,Perfume,Armaf,,,,
128,,Niche pink coral for women edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche pink coral 90ml.jpg,Armaf,1,295,,295,6940,Perfume,Armaf,,,,
129,,Niche purple amethyst for women edp 90ml,,,uploads/product/photo/armaf.new/Perfume/niche purple amethyst 90ml.jpg,Armaf,1,295,,295,7671,Perfume,Armaf,,,,
130,,Niche red ruby for women edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche red ruby 90ml.jpg,Armaf,0,390,,390,4808,Perfume,Armaf,,,,
131,,Niche gold for women edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche Gold 90ml.jpg,Armaf,1,295,,295,7670,Perfume,Armaf,,,,
132,,Niche peridot unisex edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche peridot 90ml.jpg,Armaf,1,295,,295,5991,Perfume,Armaf,,,,
133,,Niche sapphire unisex edp 90ml,,,uploads/product/photo/armaf.new/Perfume/Niche sapphire 90ml.jpg,Armaf,0,390,,390,5992,Perfume,Armaf,,,,
134,,Odyssey homme for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/odyssey homme 100ml.jpg,Armaf,1,325,,325,6948,Perfume,Armaf,,,,
135,,Odyssey homme white edition for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/odyssey homme white edition 100ml.jpg,Armaf,1,345,,345,6949,Perfume,Armaf,,,,
136,,Odyssey femme for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/odyssey femme 100ml.jpg,Armaf,0,280,,280,6950,Perfume,Armaf,,,,
137,,Odyssey femme white edition for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/odyssey femme white edition 100ml.jpg,Armaf,1,280,,280,6951,Perfume,Armaf,,,,
138,,Ombre oud intense edp 100ml,,,uploads/product/photo/armaf.new/Perfume/ombre oud intense.jpg,Armaf,0,450,,450,8742,Perfume,Armaf,,,,
139,,Q intense for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Q intense 100ml.JPG,Armaf,1,280,,280,7374,Perfume,Armaf,,,,
140,,Q uomo for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Q essence 100ml.jpg,Armaf,1,280,,280,7373,Perfume,Armaf,,,,
141,,Q donna for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Q donna 100ml.jpg,Armaf,1,280,,280,6935,Perfume,Armaf,,,,
142,,Q essence for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Q essence 100ml.jpg,Armaf,1,280,,280,6936,Perfume,Armaf,,,,
143,,Sauville pour homme for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Sauville men 100ml.JPG,Armaf,1,295,,295,6227,Perfume,Armaf,,,,
144,,Sauville pour femme for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Sauville woman 100ml.jpg,Armaf,1,295,,295,6226,Perfume,Armaf,,,,
145,,Seduction for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Seduction men 100ml.jpg,Armaf,0,550,,550,8744,Perfume,Armaf,,,,
146,,Seduction for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Seduction woman 100ml.jpg,Armaf,0,550,,550,8568,Perfume,Armaf,,,,
147,,Signature night men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Signature Night 100ml.jpg,Armaf,1,285,,285,5745,Perfume,Armaf,,,,
148,,Signature true for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/signature true 100 ml.jpg,Armaf,0,285,,285,5744,Perfume,Armaf,,,,
149,,Skin couture metallica for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/skin couture metallica 100ml.jpg,Armaf,1,235,,235,7512,Perfume,Armaf,,,,
150,,Skin couture sport for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/skin couture sport 100ml.jpg,Armaf,1,255,,255,7372,Perfume,Armaf,,,,
151,,Skin couture wood men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/skin couture wood 100ml.jpg,Armaf,1,225,,225,9091,Perfume,Armaf,,,,
152,,Tag-him for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/tag him 100ml.jpg,Armaf,1,285,,285,2301,Perfume,Armaf,,,,
153,,Tag-her for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/tag her 100ml.jpg,Armaf,1,285,,285,2449,Perfume,Armaf,,,,
154,,Tag-him prestige edition for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/tag him prestige 100ml.jpg,Armaf,0,285,,285,3197,Perfume,Armaf,,,,
155,,The pride of armaf for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/The pride of Black 100ml.jpg,Armaf,1,465,,465,5999,Perfume,Armaf,,,,
156,,The pride of armaf pour femme edp 100ml,,,uploads/product/photo/armaf.new/Perfume/The pride of armaf brown 100ml.jpg,Armaf,1,465,,465,6000,Perfume,Armaf,,,,
157,,The pride white for woman edp 100ml,,,uploads/product/photo/armaf.new/Perfume/The pride of armaf rouge 100ml.jpg,Armaf,1,590,,590,8743,Perfume,Armaf,,,,
158,,Tres nuit for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/Tres nuit 100ml.jpg,Armaf,1,255,,255,3669,Perfume,Armaf,,,,
159,,Tres jour femme edp 100ml,,,uploads/product/photo/armaf.new/Perfume/Tres jour 100ml.jpg,Armaf,1,255,,255,2297,Perfume,Armaf,,,,
160,,Vanity femme essence for women edp 100ml,,,uploads/product/photo/armaf.new/Perfume/vanity femme essence 100ml.JPG,Armaf,0,260,,260,2456,Perfume,Armaf,,,,
161,,Venetian for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/venetian 100ml.jpg,Armaf,0,345,,345,7367,Perfume,Armaf,,,,
162,,Venetian amber edition for men edp 100ml,,,uploads/product/photo/armaf.new/Perfume/venetian ambre edition 100ml.jpg,Armaf,0,345,,345,7368,Perfume,Armaf,,,,
163,,Victory for men edt 100ml,,,uploads/product/photo/armaf.new/Perfume/victory 100ml.JPG,Armaf,1,295,,295,7651,Perfume,Armaf,,,,
